Model_Year,Make,Model_Name,Vehicle Class,Engine Size,Cylinders,Transmission,Fuel,Fuel_Consumption_City,Fuel_Consumption_Hwy,Fuel_Consumption_Comb,CO2 Emissions,CO2_Rating,Smog_Rating
2020,Audi,SQ7,SUV: Standard,4.0,8.0,AS8,Z,16.0,11.0,13.7,321.0,3,3
2020,Audi,SQ8,SUV: Standard,4.0,8.0,AS8,Z,15.8,11.4,13.8,322.0,3,3
2020,Audi,TT Coupe quattro,Subcompact,2.0,4.0,AM7,X,10.3,7.7,9.1,213.0,5,7
2020,Audi,TT Roadster quattro,Two-seater,2.0,4.0,AM7,X,10.3,7.7,9.1,213.0,5,7
2020,Audi,TT RS,Subcompact,2.5,5.0,AM7,Z,12.1,8.2,10.3,241.0,5,3
2020,Audi,TTS Coupe,Subcompact,2.0,4.0,AM7,Z,10.4,8.2,9.4,220.0,5,3
2020,Bentley,Bentayga,SUV: Standard,4.0,8.0,AS8,Z,16.4,10.1,13.6,315.0,3,3
2020,Bentley,Bentayga,SUV: Standard,6.0,12.0,AS8,Z,20.0,13.8,17.2,401.0,1,3
2020,Bentley,Continental GT,Compact,4.0,8.0,AM8,Z,15.1,9.1,12.4,291.0,3,3
2020,Bentley,Continental GT,Compact,6.0,12.0,AM8,Z,19.0,11.6,15.7,364.0,2,3
2020,Bentley,Continental GT Convertible,Subcompact,4.0,8.0,AM8,Z,15.1,9.1,12.4,291.0,3,3
2020,Bentley,Continental GT Convertible,Subcompact,6.0,12.0,AM8,Z,19.2,12.2,16.0,373.0,2,3
2020,Bentley,Flying Spur,Mid-size,6.0,12.0,AM8,Z,19.2,12.2,16.0,373.0,2,3
2020,Bentley,Mulsanne,Mid-size,6.8,8.0,AS8,Z,24.5,14.4,20.0,465.0,1,1
2020,BMW,228i xDrive Gran Coupe,Compact,2.0,4.0,AS8,Z,10.2,7.2,8.8,205.0,6,7
2020,BMW,230i Cabriolet,Subcompact,2.0,4.0,AS8,Z,10.1,7.0,8.7,204.0,6,7
2020,BMW,230i xDrive Cabriolet,Subcompact,2.0,4.0,AS8,Z,10.9,7.5,9.4,219.0,5,7
2020,BMW,230i Coupe,Subcompact,2.0,4.0,AS8,Z,9.5,7.4,8.5,200.0,6,7
2020,BMW,230i xDrive Coupe,Subcompact,2.0,4.0,AS8,Z,10.9,7.5,9.4,219.0,5,7
2020,BMW,330i xDrive Sedan,Compact,2.0,4.0,AS8,Z,9.5,6.9,8.3,195.0,6,7
2020,BMW,430i xDrive Cabriolet,Subcompact,2.0,4.0,AS8,Z,10.6,7.3,9.1,213.0,5,7
2020,BMW,430i Coupe,Compact,2.0,4.0,AS8,Z,10.1,7.0,8.7,204.0,6,7
2020,BMW,430i xDrive Coupe,Compact,2.0,4.0,AS8,Z,10.9,7.5,9.4,219.0,5,7
2020,BMW,430i xDrive Gran Coupe,Compact,2.0,4.0,AS8,Z,10.9,7.5,9.4,219.0,5,7
2020,BMW,440i xDrive Cabriolet,Subcompact,3.0,6.0,AS8,Z,12.4,8.5,10.7,249.0,4,3
2020,BMW,440i Coupe,Compact,3.0,6.0,AS8,Z,11.4,8.1,9.9,231.0,5,3
2020,BMW,440i xDrive Coupe,Compact,3.0,6.0,AS8,Z,11.4,8.3,10.0,233.0,5,3
2020,BMW,440i xDrive Coupe,Compact,3.0,6.0,M6,Z,13.0,8.5,11.0,257.0,4,3
2020,BMW,440i xDrive Gran Coupe,Compact,3.0,6.0,AS8,Z,11.4,8.3,10.0,233.0,5,3
2020,BMW,530i xDrive Sedan,Mid-size,2.0,4.0,AS8,Z,9.9,7.5,8.8,206.0,6,7
2020,BMW,540i xDrive Sedan,Mid-size,3.0,6.0,AS8,Z,10.7,8.1,9.5,222.0,5,5
2020,BMW,750i xDrive Sedan,Full-size,4.4,8.0,AS8,Z,14.5,9.9,12.4,290.0,3,3
2020,BMW,750Li xDrive Sedan,Full-size,4.4,8.0,AS8,Z,14.5,9.9,12.4,290.0,3,3
2020,BMW,Alpina B7 xDrive,Full-size,4.4,8.0,AS8,Z,14.5,9.9,12.4,290.0,3,3
2020,BMW,M2 Competition,Subcompact,3.0,6.0,AM7,Z,14.1,10.3,12.4,290.0,3,3
2020,BMW,M2 Competition,Subcompact,3.0,6.0,M6,Z,13.4,9.6,11.7,273.0,4,3
2020,BMW,M235i xDrive Gran Coupe,Compact,2.0,4.0,AS8,Z,10.3,7.3,9.0,208.0,6,3
2020,BMW,M240i Cabriolet,Subcompact,3.0,6.0,AS8,Z,11.4,8.1,9.9,231.0,5,3
2020,BMW,M240i Cabriolet,Subcompact,3.0,6.0,M6,Z,12.7,8.8,10.9,255.0,4,3
2020,BMW,M240i xDrive Cabriolet,Subcompact,3.0,6.0,AS8,Z,11.4,8.3,10.0,233.0,5,3
2020,BMW,M240i Coupe,Subcompact,3.0,6.0,AS8,Z,11.4,8.1,9.9,231.0,5,3
2020,BMW,M240i Coupe M Performance,Subcompact,3.0,6.0,AS8,Z,11.4,8.1,9.9,231.0,5,3
2020,BMW,M240i Coupe,Subcompact,3.0,6.0,M6,Z,12.7,8.8,10.9,255.0,4,3
2020,BMW,M240i Coupe M Performance,Subcompact,3.0,6.0,M6,Z,12.7,8.8,10.9,255.0,4,3
2020,BMW,M240i xDrive Coupe,Subcompact,3.0,6.0,AS8,Z,11.4,8.3,10.0,233.0,5,3
2020,BMW,M240i xDrive Coupe M Performance,Subcompact,3.0,6.0,AS8,Z,11.4,8.3,10.0,233.0,5,3
2020,BMW,M340i xDrive Sedan,Compact,3.0,6.0,AS8,Z,11.4,8.3,10.0,233.0,5,5
2020,BMW,M4 Cabriolet,Subcompact,3.0,6.0,AM7,Z,14.5,10.5,12.7,299.0,3,3
2020,BMW,M4 Cabriolet Competition,Subcompact,3.0,6.0,AM7,Z,14.5,10.5,12.7,299.0,3,3
2020,BMW,M4 Cabriolet,Subcompact,3.0,6.0,M6,Z,13.8,9.4,11.9,280.0,4,3
2020,BMW,M4 Cabriolet Competition,Subcompact,3.0,6.0,M6,Z,13.8,9.4,11.9,280.0,4,3
2020,BMW,M4 Coupe,Compact,3.0,6.0,AM7,Z,14.1,10.3,12.4,290.0,3,3
2020,BMW,M4 Coupe Competition,Compact,3.0,6.0,AM7,Z,14.1,10.3,12.4,290.0,3,3
2020,BMW,M4 Coupe,Compact,3.0,6.0,M6,Z,13.4,9.6,11.7,273.0,4,3
2020,BMW,M4 Coupe Competition,Compact,3.0,6.0,M6,Z,13.4,9.6,11.7,273.0,4,3
2020,BMW,M4 CS,Compact,3.0,6.0,AM7,Z,14.1,10.3,12.4,290.0,3,3
2020,BMW,M5 Sedan,Mid-size,4.4,8.0,AS8,Z,16.0,11.0,13.8,322.0,3,3
2020,BMW,M5 Competition,Mid-size,4.4,8.0,AS8,Z,16.0,11.0,13.8,322.0,3,3
2020,BMW,M550i xDrive Sedan,Mid-size,4.4,8.0,AS8,Z,13.6,9.3,11.7,273.0,4,3
2020,BMW,M760i xDrive Sedan,Full-size,6.6,12.0,AS8,Z,17.8,11.9,15.1,354.0,2,3
2020,BMW,M8 Cabriolet,Subcompact,4.4,8.0,AS8,Z,16.0,11.0,13.8,322.0,3,3
2020,BMW,M8 Cabriolet Competition,Subcompact,4.4,8.0,AS8,Z,16.0,11.0,13.8,322.0,3,3
2020,BMW,M8 Coupe,Subcompact,4.4,8.0,AS8,Z,16.0,11.0,13.8,322.0,3,3
2020,BMW,M8 Coupe Competition,Subcompact,4.4,8.0,AS8,Z,16.0,11.0,13.8,322.0,3,3
2020,BMW,M8 Gran Coupe,Mid-size,4.4,8.0,AS8,Z,16.0,11.0,13.8,322.0,3,3
2020,BMW,M8 Gran Coupe Competition,Mid-size,4.4,8.0,AS8,Z,16.0,11.0,13.8,322.0,3,3
2020,BMW,M850i xDrive Cabriolet,Subcompact,4.4,8.0,AS8,Z,14.5,9.9,12.4,290.0,3,3
2020,BMW,M850i xDrive Coupe,Subcompact,4.4,8.0,AS8,Z,13.6,9.3,11.7,273.0,4,3
2020,BMW,M850i xDrive Gran Coupe,Mid-size,4.4,8.0,AS8,Z,14.5,9.9,12.4,290.0,3,3
2020,BMW,X1 xDrive28i,SUV: Small,2.0,4.0,AS8,Z,10.3,7.7,9.1,213.0,5,7
2020,BMW,X2 xDrive28i,SUV: Small,2.0,4.0,AS8,Z,9.9,7.6,8.8,207.0,6,7
2020,BMW,X2 M35i,SUV: Small,2.0,4.0,AS8,Z,10.0,7.8,9.0,210.0,5,3
2020,BMW,X3 xDrive30i,SUV: Small,2.0,4.0,AS8,Z,10.0,8.2,9.2,215.0,5,7
2020,BMW,X3 M,SUV: Small,3.0,6.0,AS8,Z,16.6,12.1,14.6,339.0,2,3
2020,BMW,X3 M Competition,SUV: Small,3.0,6.0,AS8,Z,16.6,12.1,14.6,339.0,2,3
2020,BMW,X3 M40i,SUV: Small,3.0,6.0,AS8,Z,11.3,8.7,10.1,235.0,5,5
2020,BMW,X4 xDrive30i,SUV: Small,2.0,4.0,AS8,Z,10.0,8.2,9.2,215.0,5,7
2020,BMW,X4 M,SUV: Small,3.0,6.0,AS8,Z,16.6,12.1,14.6,339.0,2,3
2020,BMW,X4 M Competition,SUV: Small,3.0,6.0,AS8,Z,16.6,12.1,14.6,339.0,2,3
2020,BMW,X4 M40i,SUV: Small,3.0,6.0,AS8,Z,11.3,8.7,10.1,235.0,5,5
2020,BMW,X5 xDrive40i,SUV: Standard,3.0,6.0,AS8,Z,11.7,9.1,10.5,245.0,5,3
2020,BMW,X5 xDrive50i,SUV: Standard,4.4,8.0,AS8,Z,14.5,10.7,12.8,302.0,3,3
2020,BMW,X5 M50i,SUV: Standard,4.4,8.0,AS8,Z,14.5,10.7,12.8,302.0,3,3
2020,BMW,X6 xDrive40i,SUV: Standard,3.0,6.0,AS8,Z,11.7,9.1,10.5,245.0,5,3
2020,BMW,X6 M50i,SUV: Standard,4.4,8.0,AS8,Z,14.5,10.7,12.8,302.0,3,3
2020,BMW,X7 xDrive40i,SUV: Standard,3.0,6.0,AS8,Z,12.0,9.4,10.8,254.0,4,3
2020,BMW,X7 xDrive50i,SUV: Standard,4.4,8.0,AS8,Z,15.5,11.4,13.6,318.0,3,3
2020,BMW,X7 M50i,SUV: Standard,4.4,8.0,AS8,Z,15.5,11.4,13.6,318.0,3,3
2020,BMW,Z4 sDrive30i,Two-seater,2.0,4.0,AS8,Z,9.5,7.4,8.5,200.0,6,7
2020,BMW,Z4 M40i,Two-seater,3.0,6.0,AS8,Z,10.3,8.0,9.3,216.0,5,5
2020,Bugatti,Chiron,Two-seater,8.0,16.0,AM7,Z,26.8,16.6,22.2,522.0,1,1
2020,Bugatti,Divo,Two-seater,8.0,16.0,AM7,Z,27.2,18.0,23.0,537.0,1,1
2020,Buick,Enclave,SUV: Standard,3.6,6.0,A9,X,13.0,9.1,11.2,263.0,4,6
2020,Buick,Enclave AWD,SUV: Standard,3.6,6.0,A9,X,13.6,9.6,11.8,277.0,4,6
2020,Buick,Encore,SUV: Small,1.4,4.0,AS6,X,9.4,7.8,8.7,204.0,6,5
2020,Buick,Encore AWD,SUV: Small,1.4,4.0,AS6,X,10.0,8.0,9.1,214.0,5,5
2020,Buick,Encore GX,SUV: Small,1.2,3.0,AV,X,9.0,7.7,8.4,198.0,6,7
2020,Buick,Encore GX AWD,SUV: Small,1.3,3.0,A9,X,9.0,8.0,8.5,199.0,6,7
2020,Buick,Envision AWD,SUV: Small,2.0,4.0,A9,Z,11.7,9.4,10.7,250.0,4,5
2020,Buick,Envision AWD,SUV: Small,2.5,4.0,A6,X,11.1,8.6,10.0,234.0,5,5
2020,Buick,Regal,Mid-size,2.0,4.0,AS9,Z,10.3,7.4,9.0,211.0,5,5
2020,Buick,Regal AWD,Mid-size,2.0,4.0,AS8,Z,11.0,8.0,9.6,227.0,5,5
2020,Buick,Regal AWD,Mid-size,3.6,6.0,AS9,X,12.5,8.8,10.9,255.0,4,6
2020,Cadillac,CT4,Compact,2.0,4.0,AS8,Z,10.1,6.8,8.7,203.0,6,6
2020,Cadillac,CT4,Compact,2.7,4.0,AS10,Z,11.5,8.0,9.9,232.0,5,6
2020,Cadillac,CT4 AWD,Compact,2.0,4.0,AS8,Z,10.4,7.4,9.1,213.0,5,6
2020,Cadillac,CT4 AWD,Compact,2.7,4.0,AS10,Z,11.7,8.4,10.2,238.0,5,6
2020,Cadillac,CT4-V,Compact,2.7,4.0,AS10,Z,11.5,8.2,10.0,234.0,5,6
2020,Cadillac,CT4-V AWD,Compact,2.7,4.0,AS10,Z,11.7,8.4,10.2,238.0,5,6
2020,Cadillac,CT5,Mid-size,2.0,4.0,AS10,Z,10.4,7.3,9.0,209.0,5,6
2020,Cadillac,CT5,Mid-size,3.0,6.0,AS10,Z,12.6,9.1,11.0,256.0,4,5
2020,Cadillac,CT5 AWD,Mid-size,2.0,4.0,AS10,Z,11.0,7.7,9.5,221.0,5,6
2020,Cadillac,CT5 AWD,Mid-size,3.0,6.0,AS10,Z,13.3,9.3,11.5,268.0,4,5
2020,Cadillac,CT5-V,Mid-size,3.0,6.0,AS10,Z,13.1,9.1,11.3,263.0,4,5
2020,Cadillac,CT5-V AWD,Mid-size,3.0,6.0,AS10,Z,13.8,9.4,11.8,276.0,4,5
2020,Cadillac,CT6 AWD,Full-size,3.6,6.0,AS10,X,12.9,8.7,11.0,259.0,4,5
2020,Cadillac,CT6 AWD,Full-size,4.2,8.0,AS10,Z,17.3,9.5,13.8,324.0,3,3
2020,Cadillac,Escalade 4WD,SUV: Standard,6.2,8.0,A10,Z,16.7,11.1,14.2,333.0,3,3
2020,Cadillac,XT4,SUV: Small,2.0,4.0,AS9,Z,9.8,7.8,8.9,209.0,5,6
2020,Cadillac,XT4 AWD,SUV: Small,2.0,4.0,AS9,Z,10.9,8.2,9.7,227.0,5,6
2020,Cadillac,XT5,SUV: Small,2.0,4.0,AS9,Z,11.0,8.3,9.8,227.0,5,6
2020,Cadillac,XT5 AWD,SUV: Small,2.0,4.0,AS9,Z,11.2,8.9,10.1,235.0,5,6
2020,Cadillac,XT5 AWD,SUV: Small,3.6,6.0,AS9,X,13.4,9.4,11.6,270.0,4,6
2020,Cadillac,XT6 AWD,SUV: Small,3.6,6.0,AS9,X,13.5,9.7,11.8,277.0,4,6
2020,Chevrolet,Blazer,SUV: Small,2.0,4.0,A9,X,11.0,8.3,9.8,225.0,5,6
2020,Chevrolet,Blazer,SUV: Small,2.5,4.0,A9,X,11.3,8.9,10.2,238.0,5,5
2020,Chevrolet,Blazer AWD,SUV: Small,2.0,4.0,A9,X,11.3,8.7,10.1,232.0,5,6
2020,Chevrolet,Blazer AWD,SUV: Small,3.6,6.0,A9,X,13.1,9.4,11.4,269.0,4,6
2020,Chevrolet,Camaro,Subcompact,2.0,4.0,AS8,Z,10.9,7.6,9.4,219.0,5,5
2020,Chevrolet,Camaro,Subcompact,2.0,4.0,M6,Z,11.9,7.9,10.1,235.0,5,5
2020,Chevrolet,Camaro,Subcompact,3.6,6.0,AS10,X,12.5,8.1,10.5,247.0,4,6
2020,Chevrolet,Camaro,Subcompact,3.6,6.0,M6,X,14.3,9.0,11.9,280.0,4,6
2020,Chevrolet,Camaro SS,Subcompact,6.2,8.0,AS10,Z,14.6,8.9,12.1,282.0,4,1
2020,Chevrolet,Camaro SS,Subcompact,6.2,8.0,M6,Z,14.9,9.9,12.6,296.0,3,1
2020,Chevrolet,Camaro ZL1,Subcompact,6.2,8.0,AS10,Z,18.3,11.2,15.1,355.0,2,1
2020,Chevrolet,Camaro ZL1,Subcompact,6.2,8.0,M6,Z,17.2,12.0,14.8,349.0,2,1
2020,Chevrolet,Colorado,Pickup truck: Small,2.5,4.0,A6,X,12.1,9.2,10.8,252.0,4,5
2020,Chevrolet,Colorado,Pickup truck: Small,2.8,4.0,A6,D,11.8,7.9,10.1,270.0,4,3
2020,Chevrolet,Colorado,Pickup truck: Small,3.6,6.0,A8,X,13.4,9.6,11.7,273.0,4,5
2020,Chevrolet,Colorado 4WD,Pickup truck: Small,2.5,4.0,A6,X,12.6,9.7,11.3,265.0,4,5
2020,Chevrolet,Colorado 4WD,Pickup truck: Small,2.8,4.0,A6,D,12.3,8.5,10.6,284.0,3,3
2020,Chevrolet,Colorado 4WD,Pickup truck: Small,3.6,6.0,A8,X,14.0,9.9,12.2,286.0,3,5
2020,Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,2.8,4.0,A6,D,13.3,10.6,12.1,326.0,3,3
2020,Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,3.6,6.0,A8,X,15.0,13.0,14.1,331.0,3,5
2020,Chevrolet,Corvette,Two-seater,6.2,8.0,AS8,Z,15.4,8.7,12.4,290.0,3,3
2020,Chevrolet,Equinox,SUV: Small,1.5,4.0,A6,X,8.9,7.7,8.4,196.0,6,7
2020,Chevrolet,Equinox AWD,SUV: Small,1.5,4.0,A6,X,9.3,8.0,8.7,204.0,6,7
2020,Chevrolet,Equinox AWD,SUV: Small,2.0,4.0,A9,Z,10.9,8.3,9.7,228.0,5,5
2020,Chevrolet,Impala,Full-size,3.6,6.0,AS6,X,12.8,8.5,10.9,255.0,4,5
2020,Chevrolet,Impala,Full-size,3.6,6.0,AS6,E,17.2,11.6,14.7,246.0,4,5
2020,Chevrolet,Malibu,Mid-size,1.5,4.0,AV,X,8.2,6.6,7.5,189.0,6,6
2020,Chevrolet,Malibu,Mid-size,2.0,4.0,A9,Z,10.5,7.4,9.1,214.0,5,5
2020,Chevrolet,Silverado,Pickup truck: Standard,2.7,4.0,A8,X,11.9,10.3,11.1,262.0,4,6
2020,Chevrolet,Silverado WT,Pickup truck: Standard,2.7,4.0,A8,X,12.5,10.8,11.7,275.0,4,6
2020,Chevrolet,Silverado,Pickup truck: Standard,3.0,6.0,A10,D,10.2,7.2,8.9,238.0,5,1
2020,Chevrolet,Silverado,Pickup truck: Standard,4.3,6.0,A6,X,15.1,11.5,13.5,318.0,3,6
2020,Chevrolet,Silverado,Pickup truck: Standard,5.3,8.0,A6,X,15.9,11.4,13.9,326.0,3,5
2020,Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8.0,A6,X,16.0,12.6,14.4,339.0,2,3
2020,Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8.0,A6,E,22.2,16.2,19.5,326.0,3,3
2020,Chevrolet,Silverado,Pickup truck: Standard,5.3,8.0,A8,X,13.9,10.1,12.2,286.0,3,5
2020,Chevrolet,Silverado 4WD,Pickup truck: Standard,2.7,4.0,A8,X,12.5,10.8,11.7,275.0,4,6
2020,Chevrolet,Silverado WT 4WD,Pickup truck: Standard,2.7,4.0,A8,X,12.7,11.0,12.0,280.0,4,6
2020,Chevrolet,Silverado 4WD,Pickup truck: Standard,3.0,6.0,A10,D,10.4,8.0,9.4,252.0,4,1
2020,Chevrolet,Silverado 4WD,Pickup truck: Standard,4.3,6.0,A6,X,15.7,12.0,14.1,331.0,3,6
2020,Chevrolet,Silverado 4WD Custom Trail Boss,Pickup truck: Standard,4.3,6.0,A6,X,16.3,12.9,14.8,349.0,2,6
2020,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8.0,A6,X,15.9,11.8,14.1,331.0,3,5
2020,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8.0,A6,X,16.6,13.0,15.0,350.0,2,3
2020,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8.0,A6,E,22.3,18.1,20.5,342.0,2,3
2020,Chevrolet,Silverado 4WD Custom Trail Boss,Pickup truck: Standard,5.3,8.0,A6,X,16.7,13.1,15.1,354.0,2,5
2020,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8.0,A8,X,14.7,10.7,12.9,303.0,3,5
2020,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8.0,A10,X,14.3,10.6,12.6,296.0,3,5
2020,Chevrolet,Silverado 4WD LT Trail Boss,Pickup truck: Standard,5.3,8.0,A10,X,14.7,11.2,13.1,307.0,3,5
2020,Chevrolet,Silverado 4WD,Pickup truck: Standard,6.2,8.0,A10,Z,15.0,12.0,13.7,321.0,3,3
2020,Chevrolet,Silverado 4WD Custom Trail Boss,Pickup truck: Standard,6.2,8.0,A10,Z,16.8,13.3,15.2,357.0,2,3
2020,Chevrolet,Silverado 4WD LT Trail Boss,Pickup truck: Standard,6.2,8.0,A10,Z,15.7,12.4,14.2,332.0,3,3
2020,Chevrolet,Spark,Subcompact,1.4,4.0,AV,X,7.9,6.2,7.1,167.0,7,5
2020,Chevrolet,Spark,Subcompact,1.4,4.0,M5,X,8.0,6.2,7.2,170.0,7,5
2020,Chevrolet,Suburban,SUV: Standard,5.3,8.0,A6,X,15.7,10.5,13.4,314.0,3,3
2020,Chevrolet,Suburban FFV,SUV: Standard,5.3,8.0,A6,X,15.7,10.5,13.4,314.0,3,3
2020,Chevrolet,Suburban FFV,SUV: Standard,5.3,8.0,A6,E,21.2,13.9,17.9,298.0,3,3
2020,Chevrolet,Suburban 4WD,SUV: Standard,5.3,8.0,A6,X,16.8,11.3,14.4,337.0,2,3
2020,Chevrolet,Suburban 4WD FFV,SUV: Standard,5.3,8.0,A6,X,16.8,11.3,14.4,337.0,2,3
2020,Chevrolet,Suburban 4WD FFV,SUV: Standard,5.3,8.0,A6,E,22.2,15.3,19.1,319.0,3,3
2020,Chevrolet,Suburban 4WD,SUV: Standard,6.2,8.0,A10,Z,17.2,11.4,14.6,343.0,2,3
